date,ADM2_NAME,mean,source
2003-01-01,Hamirpur,-3.118798452360141,GRACE
2003-01-01,Mahoba,-3.2119283878071285,GRACE
2003-01-01,Banda,-3.081260847823987,GRACE
2003-01-01,Chitrakoot,-3.081314746666392,GRACE
2003-01-01,Hamirpur,1.5822006464004517,GRACE
2003-01-01,Aurangabad,-4.36163509068637,GRACE
2003-01-01,Chhatarpur,-4.575537894868769,GRACE
2003-01-01,Damoh,-6.674980487481991,GRACE
2003-01-01,Datia,-2.9865052305923236,GRACE
2003-01-01,Panna,-5.031524294045198,GRACE
2003-01-01,Sagar,-7.184499411859719,GRACE
2003-01-01,Tikamgarh,-4.459393795850768,GRACE
2003-01-01,Jalaun,-1.9166441968799905,GRACE
2003-01-01,Jhansi,-3.3225736900292393,GRACE
2003-01-01,Lalitpur,-5.783889088674301,GRACE
2003-01-01,Latur,-10.270216721848836,GRACE
2003-01-01,Nanded,-12.093973307941669,GRACE
2003-01-01,Osmanabad,-8.690024583159627,GRACE
2003-01-01,Aurangabad,-10.224565266593261,GRACE
2003-01-01,Hingoli,-12.009923665216498,GRACE
2003-01-01,Jalna,-10.707198277191836,GRACE
2003-01-01,Parbhani,-11.00499982924857,GRACE
2003-01-01,Pudukkottai,-2.9788927607559295,GRACE
2003-01-01,Ramanathapuram,-1.473400349989817,GRACE
2003-01-01,Thanjavur,-3.1988461460432207,GRACE
2003-01-01,Cuddalore,-4.659779764842387,GRACE
2003-01-01,Nagapattinam,-3.4506844765907516,GRACE
2003-02-01,Hamirpur,-2.840565865309506,GRACE
2003-02-01,Mahoba,-2.810116376834072,GRACE
2003-02-01,Banda,-3.0344989037303534,GRACE
2003-02-01,Chitrakoot,-3.325967264585538,GRACE
2003-02-01,Hamirpur,5.198015213012695,GRACE
2003-02-01,Aurangabad,-5.75090720777525,GRACE
2003-02-01,Chhatarpur,-4.020602146722968,GRACE
2003-02-01,Damoh,-5.834297988112475,GRACE
2003-02-01,Datia,-2.2007362493389246,GRACE
2003-02-01,Panna,-4.610087427150148,GRACE
2003-02-01,Sagar,-5.89815624142973,GRACE
2003-02-01,Tikamgarh,-3.6246676546341474,GRACE
2003-02-01,Jalaun,-1.3705108171631752,GRACE
2003-02-01,Jhansi,-2.720300127204745,GRACE
2003-02-01,Lalitpur,-4.548382597670934,GRACE
2003-02-01,Latur,-8.910687143779173,GRACE
2003-02-01,Nanded,-10.729536295692327,GRACE
2003-02-01,Osmanabad,-7.632860313966798,GRACE
2003-02-01,Aurangabad,-9.62268186318502,GRACE
2003-02-01,Hingoli,-10.764668645471849,GRACE
2003-02-01,Jalna,-9.853430044621751,GRACE
2003-02-01,Parbhani,-9.8555759935288,GRACE
2003-02-01,Pudukkottai,-0.8691833971537156,GRACE
2003-02-01,Ramanathapuram,-0.2831868189743925,GRACE
2003-02-01,Thanjavur,-1.1485116200063823,GRACE
2003-02-01,Cuddalore,-2.0296487426457084,GRACE
2003-02-01,Nagapattinam,-1.3253844068557052,GRACE
2003-03-01,Hamirpur,-4.6200114322439525,GRACE
2003-03-01,Mahoba,-4.683898790492293,GRACE
2003-03-01,Banda,-4.674769692295582,GRACE
2003-03-01,Chitrakoot,-4.852401134344415,GRACE
2003-03-01,Hamirpur,9.862616539001465,GRACE
2003-03-01,Aurangabad,-8.980885231710149,GRACE
2003-03-01,Chhatarpur,-6.592496814096248,GRACE
2003-03-01,Damoh,-9.636297004399413,GRACE
2003-03-01,Datia,-4.167311495123197,GRACE
2003-03-01,Panna,-7.456636038602518,GRACE
2003-03-01,Sagar,-9.792197445607961,GRACE
2003-03-01,Tikamgarh,-6.14870330289876,GRACE
2003-03-01,Jalaun,-3.0220038361722477,GRACE
2003-03-01,Jhansi,-4.68456828142607,GRACE
2003-03-01,Lalitpur,-7.650546413471294,GRACE
2003-03-01,Latur,-7.929069189481599,GRACE
2003-03-01,Nanded,-10.35778560082071,GRACE
2003-03-01,Osmanabad,-6.741332005941338,GRACE
2003-03-01,Aurangabad,-9.945272391346288,GRACE
2003-03-01,Hingoli,-10.511311549626983,GRACE
2003-03-01,Jalna,-9.837896185697822,GRACE
2003-03-01,Parbhani,-9.295660067081782,GRACE
2003-03-01,Pudukkottai,-0.2288431179766155,GRACE
2003-03-01,Ramanathapuram,-0.28731629550511,GRACE
2003-03-01,Thanjavur,-0.30751537478046936,GRACE
2003-03-01,Cuddalore,-1.0232167086487647,GRACE
2003-03-01,Nagapattinam,-0.43219362391209226,GRACE
2003-04-01,Hamirpur,-7.010035230336699,GRACE
2003-04-01,Mahoba,-7.052960380431145,GRACE
2003-04-01,Banda,-7.048748268150656,GRACE
2003-04-01,Chitrakoot,-7.243077610665506,GRACE
2003-04-01,Hamirpur,8.013209342956543,GRACE
2003-04-01,Aurangabad,-10.58369250755875,GRACE
2003-04-01,Chhatarpur,-8.654404229718525,GRACE
2003-04-01,Damoh,-11.590311527484184,GRACE
2003-04-01,Datia,-6.771336500635367,GRACE
2003-04-01,Panna,-9.331185672674975,GRACE
2003-04-01,Sagar,-11.757247313302795,GRACE
2003-04-01,Tikamgarh,-8.333351373789155,GRACE
2003-04-01,Jalaun,-5.908167309549072,GRACE
2003-04-01,Jhansi,-7.091459965772283,GRACE
2003-04-01,Lalitpur,-9.630742949117327,GRACE
2003-04-01,Latur,-12.306377846603999,GRACE
2003-04-01,Nanded,-14.25829911211247,GRACE
2003-04-01,Osmanabad,-11.42724569332019,GRACE
2003-04-01,Aurangabad,-14.21744383740616,GRACE
2003-04-01,Hingoli,-14.64312759819411,GRACE
2003-04-01,Jalna,-14.159814737569672,GRACE
2003-04-01,Parbhani,-13.689953576472574,GRACE
2003-04-01,Pudukkottai,-1.9983380185291693,GRACE
2003-04-01,Ramanathapuram,-1.33581988694638,GRACE
2003-04-01,Thanjavur,-2.033084721417549,GRACE
2003-04-01,Cuddalore,-3.0047555143547466,GRACE
2003-04-01,Nagapattinam,-2.185150354346935,GRACE
2003-05-01,Hamirpur,-10.465137038537813,GRACE
2003-05-01,Mahoba,-10.676027412119982,GRACE
2003-05-01,Banda,-10.256382067992044,GRACE
2003-05-01,Chitrakoot,-9.995823687479037,GRACE
2003-05-01,Hamirpur,6.606130123138428,GRACE
2003-05-01,Aurangabad,-11.60374129647267,GRACE
2003-05-01,Chhatarpur,-12.074516335459638,GRACE
2003-05-01,Damoh,-14.285579861840164,GRACE
2003-05-01,Datia,-10.462143119056423,GRACE
2003-05-01,Panna,-12.278497566846974,GRACE
2003-05-01,Sagar,-14.836556098110819,GRACE
2003-05-01,Tikamgarh,-12.041589312601744,GRACE
2003-05-01,Jalaun,-9.06906366183233,GRACE
2003-05-01,Jhansi,-10.836780693537678,GRACE
2003-05-01,Lalitpur,-13.454574110875406,GRACE
2003-05-01,Latur,-14.785847515723459,GRACE
2003-05-01,Nanded,-16.70692917760288,GRACE
2003-05-01,Osmanabad,-13.749046102295779,GRACE
2003-05-01,Aurangabad,-15.91063997864983,GRACE
2003-05-01,Hingoli,-16.826870737537558,GRACE
2003-05-01,Jalna,-16.04596242989346,GRACE
2003-05-01,Parbhani,-15.85612406879351,GRACE
2003-05-01,Pudukkottai,-4.464932656933362,GRACE
2003-05-01,Ramanathapuram,-1.8536924215131185,GRACE
2003-05-01,Thanjavur,-4.696949873201292,GRACE
2003-05-01,Cuddalore,-7.167035788193231,GRACE
2003-05-01,Nagapattinam,-5.0998529245784585,GRACE
2003-07-01,Hamirpur,3.93988684182481,GRACE
2003-07-01,Mahoba,3.404181528156759,GRACE
2003-07-01,Banda,4.710190855192769,GRACE
2003-07-01,Chitrakoot,5.780140608549116,GRACE
2003-07-01,Hamirpur,8.69742488861084,GRACE
2003-07-01,Aurangabad,10.233450264785851,GRACE
2003-07-01,Chhatarpur,2.161732440062005,GRACE
2003-07-01,Damoh,0.19356688871288075,GRACE
2003-07-01,Datia,2.639780404213618,GRACE
2003-07-01,Panna,2.2691672603781816,GRACE
2003-07-01,Sagar,-0.69493477780457,GRACE
2003-07-01,Tikamgarh,1.5572151777107623,GRACE
2003-07-01,Jalaun,4.923795739828009,GRACE
2003-07-01,Jhansi,2.7662369782214045,GRACE
2003-07-01,Lalitpur,0.06719008970646513,GRACE
2003-07-01,Latur,-1.8438933406504956,GRACE
2003-07-01,Nanded,-1.721509563383039,GRACE
2003-07-01,Osmanabad,-2.0717946895597765,GRACE
2003-07-01,Aurangabad,-2.7744343846452,GRACE
2003-07-01,Hingoli,-1.6377522681783414,GRACE
2003-07-01,Jalna,-2.2743827253664546,GRACE
2003-07-01,Parbhani,-1.7822043691606384,GRACE
2003-07-01,Pudukkottai,-3.2253505516769567,GRACE
2003-07-01,Ramanathapuram,-2.3161575876083202,GRACE
2003-07-01,Thanjavur,-3.47395488497846,GRACE
2003-07-01,Cuddalore,-4.120087500627675,GRACE
2003-07-01,Nagapattinam,-3.6064228680558483,GRACE
2003-08-01,Hamirpur,16.695904341471312,GRACE
2003-08-01,Mahoba,16.244724089337076,GRACE
2003-08-01,Banda,17.358965591046125,GRACE
2003-08-01,Chitrakoot,18.20428964774543,GRACE
2003-08-01,Hamirpur,11.482216835021973,GRACE
2003-08-01,Aurangabad,21.272237106663095,GRACE
2003-08-01,Chhatarpur,15.12245858584649,GRACE
2003-08-01,Damoh,13.390509037026352,GRACE
2003-08-01,Datia,15.481110237617852,GRACE
2003-08-01,Panna,15.248112509890303,GRACE
2003-08-01,Sagar,12.574942628402667,GRACE
2003-08-01,Tikamgarh,14.57352173494234,GRACE
2003-08-01,Jalaun,17.41091535949942,GRACE
2003-08-01,Jhansi,15.661378491754977,GRACE
2003-08-01,Lalitpur,13.231252264523492,GRACE
2003-08-01,Latur,7.772013902395249,GRACE
2003-08-01,Nanded,9.345735069006547,GRACE
2003-08-01,Osmanabad,6.76103204692308,GRACE
2003-08-01,Aurangabad,8.010405612667137,GRACE
2003-08-01,Hingoli,9.793076151030819,GRACE
2003-08-01,Jalna,8.6205836871205,GRACE
2003-08-01,Parbhani,8.906853642273921,GRACE
2003-08-01,Pudukkottai,-1.6635830643697296,GRACE
2003-08-01,Ramanathapuram,-0.9374658949652923,GRACE
2003-08-01,Thanjavur,-1.9186900945613212,GRACE
2003-08-01,Cuddalore,-2.2922590432170398,GRACE
2003-08-01,Nagapattinam,-2.011008592720914,GRACE
2003-09-01,Hamirpur,25.425167036304742,GRACE
2003-09-01,Mahoba,24.826278909352315,GRACE
2003-09-01,Banda,26.445684972582846,GRACE
2003-09-01,Chitrakoot,27.560111231103942,GRACE
2003-09-01,Hamirpur,10.637035369873047,GRACE
2003-09-01,Aurangabad,30.96383422742678,GRACE
2003-09-01,Chhatarpur,24.35854943676201,GRACE
2003-09-01,Damoh,22.85515421211945,GRACE
2003-09-01,Datia,23.1571855558356,GRACE
2003-09-01,Panna,25.180324901060697,GRACE
2003-09-01,Sagar,21.57502125199298,GRACE
2003-09-01,Tikamgarh,23.131327946758567,GRACE
2003-09-01,Jalaun,25.05484714678225,GRACE
2003-09-01,Jhansi,23.892822546945638,GRACE
2003-09-01,Lalitpur,21.88039412099151,GRACE
2003-09-01,Latur,8.803497022297458,GRACE
2003-09-01,Nanded,11.23974484692598,GRACE
2003-09-01,Osmanabad,7.543468069968118,GRACE
2003-09-01,Aurangabad,11.066117883854007,GRACE
2003-09-01,Hingoli,12.250358939797616,GRACE
2003-09-01,Jalna,11.388178408585091,GRACE
2003-09-01,Parbhani,11.01561421323771,GRACE
2003-09-01,Pudukkottai,-2.071861064733267,GRACE
2003-09-01,Ramanathapuram,-1.4356662127867543,GRACE
2003-09-01,Thanjavur,-2.2021576173699557,GRACE
2003-09-01,Cuddalore,-2.6543538575416363,GRACE
2003-09-01,Nagapattinam,-2.2885462926636495,GRACE
2003-10-01,Hamirpur,22.25598124249025,GRACE
2003-10-01,Mahoba,21.909724156071704,GRACE
2003-10-01,Banda,22.856835613442698,GRACE
2003-10-01,Chitrakoot,23.43829324879777,GRACE
2003-10-01,Hamirpur,7.87861967086792,GRACE
2003-10-01,Aurangabad,25.76792316166617,GRACE
2003-10-01,Chhatarpur,21.36693098048507,GRACE
2003-10-01,Damoh,19.875528245001455,GRACE
2003-10-01,Datia,20.801668679095194,GRACE
2003-10-01,Panna,21.84882694089569,GRACE
2003-10-01,Sagar,18.87858534672128,GRACE
2003-10-01,Tikamgarh,20.594943937443638,GRACE
2003-10-01,Jalaun,21.992377395758982,GRACE
2003-10-01,Jhansi,21.294660468885166,GRACE
2003-10-01,Lalitpur,19.510576728697306,GRACE
2003-10-01,Latur,8.810257814818465,GRACE
2003-10-01,Nanded,10.383690942661175,GRACE
2003-10-01,Osmanabad,8.019498280357489,GRACE
2003-10-01,Aurangabad,10.163767027214282,GRACE
2003-10-01,Hingoli,11.021573396452384,GRACE
2003-10-01,Jalna,10.407572948975444,GRACE
2003-10-01,Parbhani,10.215256930673732,GRACE
2003-10-01,Pudukkottai,0.15284259568108877,GRACE
2003-10-01,Ramanathapuram,-0.0313839635142321,GRACE
2003-10-01,Thanjavur,0.07308182229816228,GRACE
2003-10-01,Cuddalore,0.15557042651854788,GRACE
2003-10-01,Nagapattinam,0.07144940488371493,GRACE
2003-11-01,Hamirpur,14.783962767212627,GRACE
2003-11-01,Mahoba,14.659496901979303,GRACE
2003-11-01,Banda,14.992750635420174,GRACE
2003-11-01,Chitrakoot,15.140443758133353,GRACE
2003-11-01,Hamirpur,4.899557113647461,GRACE
2003-11-01,Aurangabad,15.497086009820459,GRACE
2003-11-01,Chhatarpur,14.143794698047941,GRACE
2003-11-01,Damoh,12.968060609419032,GRACE
2003-11-01,Datia,14.286092514302199,GRACE
2003-11-01,Panna,14.387584867976935,GRACE
2003-11-01,Sagar,12.219298623882773,GRACE
2003-11-01,Tikamgarh,13.826097789405742,GRACE
2003-11-01,Jalaun,14.856202775635111,GRACE
2003-11-01,Jhansi,14.402964750704328,GRACE
2003-11-01,Lalitpur,12.945549399545715,GRACE
2003-11-01,Latur,4.179718830699895,GRACE
2003-11-01,Nanded,5.0990915732327435,GRACE
2003-11-01,Osmanabad,3.7939349923764842,GRACE
2003-11-01,Aurangabad,4.962208782977268,GRACE
2003-11-01,Hingoli,5.431266345250348,GRACE
2003-11-01,Jalna,5.052253548440874,GRACE
2003-11-01,Parbhani,4.9373478012526615,GRACE
2003-11-01,Pudukkottai,0.9094398078471282,GRACE
2003-11-01,Ramanathapuram,1.0564394886726098,GRACE
2003-11-01,Thanjavur,0.656612141508876,GRACE
2003-11-01,Cuddalore,0.3339340483382105,GRACE
2003-11-01,Nagapattinam,0.5676961251199778,GRACE
2003-12-01,Hamirpur,10.8069817021318,GRACE
2003-12-01,Mahoba,10.82768077900229,GRACE
2003-12-01,Banda,10.734870173940983,GRACE
2003-12-01,Chitrakoot,10.52632670249414,GRACE
2003-12-01,Hamirpur,4.634786128997803,GRACE
2003-12-01,Aurangabad,8.546454534387314,GRACE
2003-12-01,Chhatarpur,9.99282734920548,GRACE
2003-12-01,Damoh,8.601041765566563,GRACE
2003-12-01,Datia,11.018377458363652,GRACE
2003-12-01,Panna,9.833242833733507,GRACE
2003-12-01,Sagar,8.202823921976258,GRACE
2003-12-01,Tikamgarh,10.111196475744,GRACE
2003-12-01,Jalaun,11.336023535623566,GRACE
2003-12-01,Jhansi,10.817734612860718,GRACE
2003-12-01,Lalitpur,9.241060533530268,GRACE
2003-12-01,Latur,1.1071153071825863,GRACE
2003-12-01,Nanded,1.6921354349500426,GRACE
2003-12-01,Osmanabad,1.015618848710451,GRACE
2003-12-01,Aurangabad,1.7593417669866254,GRACE
2003-12-01,Hingoli,1.9582998937259402,GRACE
2003-12-01,Jalna,1.7648889966887604,GRACE
2003-12-01,Parbhani,1.6220383513367729,GRACE
2003-12-01,Pudukkottai,1.7124017391461352,GRACE
2003-12-01,Ramanathapuram,2.843048630362945,GRACE
2003-12-01,Thanjavur,1.4845118225968426,GRACE
2003-12-01,Cuddalore,0.38630789919340625,GRACE
2003-12-01,Nagapattinam,1.2850600621615125,GRACE
2003-12-19,Hamirpur,7.984067130520217,GRACE
2003-12-19,Mahoba,8.172272228098908,GRACE
2003-12-19,Banda,7.591856043619846,GRACE
2003-12-19,Chitrakoot,6.943778327955019,GRACE
2003-12-19,Hamirpur,2.1969211101531982,GRACE
2003-12-19,Aurangabad,3.13864148419694,GRACE
2003-12-19,Chhatarpur,7.021016746795828,GRACE
2003-12-19,Damoh,5.372250111729205,GRACE
2003-12-19,Datia,8.833431288624928,GRACE
2003-12-19,Panna,6.385380141118294,GRACE
2003-12-19,Sagar,5.306423458131281,GRACE
2003-12-19,Tikamgarh,7.5727937524362865,GRACE
2003-12-19,Jalaun,8.904709583464962,GRACE
2003-12-19,Jhansi,8.39487601070351,GRACE
2003-12-19,Lalitpur,6.738730282686193,GRACE
2003-12-19,Latur,-0.8344000238372076,GRACE
2003-12-19,Nanded,-0.5265873905540096,GRACE
2003-12-19,Osmanabad,-0.7764599057129807,GRACE
2003-12-19,Aurangabad,-0.1889605028115175,GRACE
2003-12-19,Hingoli,-0.34617901406641377,GRACE
2003-12-19,Jalna,-0.32914947168878694,GRACE
2003-12-19,Parbhani,-0.5200460277496033,GRACE
2003-12-19,Pudukkottai,0.5065023142771491,GRACE
2003-12-19,Ramanathapuram,1.8892186651045824,GRACE
2003-12-19,Thanjavur,0.0028512277329820718,GRACE
2003-12-19,Cuddalore,-1.3937043434018095,GRACE
2003-12-19,Nagapattinam,-0.28356029899445484,GRACE
2004-02-04,Hamirpur,4.825019039595943,GRACE
2004-02-04,Mahoba,4.926535850474541,GRACE
2004-02-04,Banda,4.527820532934112,GRACE
2004-02-04,Chitrakoot,3.984451925235055,GRACE
2004-02-04,Hamirpur,5.308048248291016,GRACE
2004-02-04,Aurangabad,-0.5581102975897819,GRACE
2004-02-04,Chhatarpur,3.366825469874148,GRACE
2004-02-04,Damoh,1.1554367027838222,GRACE
2004-02-04,Datia,5.508210453489252,GRACE
2004-02-04,Panna,2.5605271902830538,GRACE
2004-02-04,Sagar,1.0563362172103643,GRACE
2004-02-04,Tikamgarh,3.884610619439982,GRACE
2004-02-04,Jalaun,6.172955366744021,GRACE
2004-02-04,Jhansi,5.034429320518686,GRACE
2004-02-04,Lalitpur,2.721091505023143,GRACE
2004-02-04,Latur,-3.8130929778231444,GRACE
2004-02-04,Nanded,-3.630015149425734,GRACE
2004-02-04,Osmanabad,-3.8805322517054597,GRACE
2004-02-04,Aurangabad,-2.951468395026767,GRACE
2004-02-04,Hingoli,-3.328379086569509,GRACE
2004-02-04,Jalna,-3.1000751524617502,GRACE
2004-02-04,Parbhani,-3.358864232401861,GRACE
2004-02-04,Pudukkottai,-2.581530338296242,GRACE
2004-02-04,Ramanathapuram,-1.295727071770293,GRACE
2004-02-04,Thanjavur,-2.826740228615005,GRACE
2004-02-04,Cuddalore,-3.980744976385875,GRACE
2004-02-04,Nagapattinam,-3.036171993683511,GRACE
2004-03-01,Hamirpur,-2.073701654555709,GRACE
2004-03-01,Mahoba,-1.8927806237222313,GRACE
2004-03-01,Banda,-2.4956533837041244,GRACE
2004-03-01,Chitrakoot,-3.213867791858288,GRACE
2004-03-01,Hamirpur,1.206241250038147,GRACE
2004-03-01,Aurangabad,-8.866173642895031,GRACE
2004-03-01,Chhatarpur,-3.3434057284316174,GRACE
2004-03-01,Damoh,-5.421434171749388,GRACE
2004-03-01,Datia,-1.1240916310709193,GRACE
2004-03-01,Panna,-4.221746335907585,GRACE
2004-03-01,Sagar,-5.390878515308363,GRACE
2004-03-01,Tikamgarh,-2.697065809388879,GRACE
2004-03-01,Jalaun,-0.77660498171105,GRACE
2004-03-01,Jhansi,-1.6694800453431757,GRACE
2004-03-01,Lalitpur,-3.7007721338533823,GRACE
2004-03-01,Latur,-9.395786319383348,GRACE
2004-03-01,Nanded,-9.81317245256075,GRACE
2004-03-01,Osmanabad,-9.16612169508395,GRACE
2004-03-01,Aurangabad,-8.551330166548686,GRACE
2004-03-01,Hingoli,-9.443203550843307,GRACE
2004-03-01,Jalna,-8.79765450938672,GRACE
2004-03-01,Parbhani,-9.119668525847162,GRACE
2004-03-01,Pudukkottai,-6.897181477280414,GRACE
2004-03-01,Ramanathapuram,-5.604291177094037,GRACE
2004-03-01,Thanjavur,-7.127051186728688,GRACE
2004-03-01,Cuddalore,-7.994601637647134,GRACE
2004-03-01,Nagapattinam,-7.28926433677219,GRACE
2004-04-01,Hamirpur,-5.010090460159123,GRACE
2004-04-01,Mahoba,-4.8953823665557605,GRACE
2004-04-01,Banda,-5.309970949428486,GRACE
2004-04-01,Chitrakoot,-5.728216559351039,GRACE
2004-04-01,Hamirpur,0.19167560338974,GRACE
2004-04-01,Aurangabad,-9.700088623163184,GRACE
2004-04-01,Chhatarpur,-6.0740086736746655,GRACE
2004-04-01,Damoh,-7.7329769761132905,GRACE
2004-04-01,Datia,-4.116950395518613,GRACE
2004-04-01,Panna,-6.736197170044414,GRACE
2004-04-01,Sagar,-7.675417793098386,GRACE
2004-04-01,Tikamgarh,-5.49775682450674,GRACE
2004-04-01,Jalaun,-3.847264371345895,GRACE
2004-04-01,Jhansi,-4.662516127721844,GRACE
2004-04-01,Lalitpur,-6.300495135826094,GRACE
2004-04-01,Latur,-11.195110602052214,GRACE
2004-04-01,Nanded,-11.312469061734959,GRACE
2004-04-01,Osmanabad,-11.149737486727531,GRACE
2004-04-01,Aurangabad,-10.847656036271676,GRACE
2004-04-01,Hingoli,-11.15191966421065,GRACE
2004-04-01,Jalna,-10.936981626433507,GRACE
2004-04-01,Parbhani,-11.053003978474017,GRACE
2004-04-01,Pudukkottai,-6.025385160495287,GRACE
2004-04-01,Ramanathapuram,-4.066445443569307,GRACE
2004-04-01,Thanjavur,-6.221037028899379,GRACE
2004-04-01,Cuddalore,-7.6771641953808505,GRACE
2004-04-01,Nagapattinam,-6.464767594456569,GRACE
2004-05-01,Hamirpur,-7.863575908651745,GRACE
2004-05-01,Mahoba,-7.823936209106732,GRACE
2004-05-01,Banda,-8.083455613895172,GRACE
2004-05-01,Chitrakoot,-8.345865425385465,GRACE
2004-05-01,Hamirpur,-1.5355831384658813,GRACE
2004-05-01,Aurangabad,-10.765617465983214,GRACE
2004-05-01,Chhatarpur,-9.43234055760999,GRACE
2004-05-01,Damoh,-11.663370430649305,GRACE
2004-05-01,Datia,-7.088652010073149,GRACE
2004-05-01,Panna,-10.264487569020398,GRACE
2004-05-01,Sagar,-11.681906719915917,GRACE
2004-05-01,Tikamgarh,-8.82501818077917,GRACE
2004-05-01,Jalaun,-6.352351632783494,GRACE
2004-05-01,Jhansi,-7.659121794620927,GRACE
2004-05-01,Lalitpur,-9.938186362224258,GRACE
2004-05-01,Latur,-14.902489932127125,GRACE
2004-05-01,Nanded,-15.174610409943606,GRACE
2004-05-01,Osmanabad,-14.61082969068702,GRACE
2004-05-01,Aurangabad,-15.312524749302916,GRACE
2004-05-01,Hingoli,-15.379369207877785,GRACE
2004-05-01,Jalna,-15.38660944370744,GRACE
2004-05-01,Parbhani,-15.288033379935813,GRACE
2004-05-01,Pudukkottai,-4.910320177032242,GRACE
2004-05-01,Ramanathapuram,-3.6158926116964443,GRACE
2004-05-01,Thanjavur,-5.329142448779768,GRACE
2004-05-01,Cuddalore,-6.562598713979743,GRACE
2004-05-01,Nagapattinam,-5.5772508285489195,GRACE
2004-06-01,Hamirpur,-4.660217438770072,GRACE
2004-06-01,Mahoba,-4.895569411320651,GRACE
2004-06-01,Banda,-4.340211040117795,GRACE
2004-06-01,Chitrakoot,-3.8712054941358915,GRACE
2004-06-01,Hamirpur,-2.8031325340270996,GRACE
2004-06-01,Aurangabad,-1.980558385512858,GRACE
2004-06-01,Chhatarpur,-5.832751650739167,GRACE
2004-06-01,Damoh,-7.39909195841965,GRACE
2004-06-01,Datia,-5.189930327806575,GRACE
2004-06-01,Panna,-5.916344060653781,GRACE
2004-06-01,Sagar,-7.997985168548124,GRACE
2004-06-01,Tikamgarh,-6.063494266642015,GRACE
2004-06-01,Jalaun,-4.01267146701135,GRACE
2004-06-01,Jhansi,-5.196926159712596,GRACE
2004-06-01,Lalitpur,-7.1375618694367144,GRACE
2004-06-01,Latur,-9.375808350466817,GRACE
2004-06-01,Nanded,-9.91092111263602,GRACE
2004-06-01,Osmanabad,-8.773726271373981,GRACE
2004-06-01,Aurangabad,-10.223463029556715,GRACE
2004-06-01,Hingoli,-10.093262450301944,GRACE
2004-06-01,Jalna,-10.169925083718592,GRACE
2004-06-01,Parbhani,-9.908870849382998,GRACE
2004-06-01,Pudukkottai,-1.6090457557160176,GRACE
2004-06-01,Ramanathapuram,-1.1538745743097827,GRACE
2004-06-01,Thanjavur,-1.7523829492405751,GRACE
2004-06-01,Cuddalore,-2.4666239914563297,GRACE
2004-06-01,Nagapattinam,-1.8834583027967073,GRACE
2004-07-01,Hamirpur,5.801008953591533,GRACE
2004-07-01,Mahoba,4.930332374952846,GRACE
2004-07-01,Banda,7.214655449435613,GRACE
2004-07-01,Chitrakoot,8.95462871620415,GRACE
2004-07-01,Hamirpur,1.1291738748550415,GRACE
2004-07-01,Aurangabad,15.55833766694739,GRACE
2004-07-01,Chhatarpur,3.8225316368447,GRACE
2004-07-01,Damoh,1.3643380272065981,GRACE
2004-07-01,Datia,2.9378463486131507,GRACE
2004-07-01,Panna,4.622068923009915,GRACE
2004-07-01,Sagar,-0.22222073200128417,GRACE
2004-07-01,Tikamgarh,2.3713031573349346,GRACE
2004-07-01,Jalaun,5.878945838303001,GRACE
2004-07-01,Jhansi,3.718895681887283,GRACE
2004-07-01,Lalitpur,0.46047009739927774,GRACE
2004-07-01,Latur,-2.85852087909467,GRACE
2004-07-01,Nanded,-2.4266080482209644,GRACE
2004-07-01,Osmanabad,-3.0252571892406794,GRACE
2004-07-01,Aurangabad,-4.795006829391983,GRACE
2004-07-01,Hingoli,-2.8132517057713833,GRACE
